Time,Switch_state
2025-05-25 12:23:51,click
2025-05-25 20:52:12,click
2025-05-26 09:08:38,click
2025-05-26 10:59:49,double click
2025-05-26 17:42:10,double click
2025-05-26 17:48:19,click
2025-05-27 08:14:01,hold
2025-05-27 08:14:37,double click
2025-05-27 08:14:40,click
2025-05-27 08:47:20,double click
2025-05-27 09:41:12,double click
2025-05-27 13:51:50,double click
2025-05-27 17:44:44,double click
2025-05-27 20:40:55,click
2025-05-28 08:52:47,double click
2025-05-28 08:52:49,click
2025-05-28 11:34:50,double click
2025-05-28 14:26:03,double click
2025-05-28 20:54:16,double click
2025-05-28 20:54:19,click
2025-05-29 14:21:29,double click
2025-05-29 14:21:32,click
2025-05-29 14:58:13,double click
2025-05-29 14:58:19,double click
2025-05-29 20:04:10,double click
2025-05-29 20:04:12,click
2025-05-30 08:42:37,click
2025-05-30 08:42:39,double click
2025-05-30 09:56:56,double click
2025-05-30 12:04:41,double click
2025-05-30 14:58:10,double click
2025-05-30 16:37:27,double click
2025-05-30 17:06:57,double click
2025-05-30 18:07:07,double click
2025-05-30 19:16:24,double click
2025-05-30 19:35:13,click
