Time,Accumulated_Energy_Consumption(Wh)
2025/5/15 0:15,5605460
2025/5/15 1:15,5605589
2025/5/15 2:15,5605694
2025/5/15 3:14,5605795
2025/5/15 12:22,5605806
2025/5/15 13:21,5605985
2025/5/15 15:36,5606236
2025/5/15 16:36,5606363
2025/5/15 17:36,5606477
2025/5/15 18:36,5606578
2025/5/15 19:36,5606685
2025/5/15 20:36,5606805
2025/5/15 21:36,5606858
2025/5/15 22:36,5606876
2025/5/16 11:28,5606887
2025/5/16 12:28,5606908
2025/5/16 13:28,5606929
2025/5/16 14:28,5607107
2025/5/16 15:28,5607288
2025/5/16 16:28,5607453
2025/5/16 17:27,5607584
2025/5/16 18:27,5607735
2025/5/16 19:27,5607850
2025/5/16 20:27,5607931
2025/5/17 9:03,5607942
2025/5/17 10:03,5608136
2025/5/17 11:50,5608298
2025/5/17 12:50,5608409
2025/5/17 13:50,5608552
2025/5/17 14:50,5608716
2025/5/17 15:50,5609062
2025/5/17 17:55,5609495
2025/5/17 18:55,5609910
2025/5/17 19:55,5610212
2025/5/17 20:55,5610242
2025/5/17 21:55,5610521
2025/5/17 22:55,5611096
2025/5/17 23:55,5611871
2025/5/18 0:55,5612446
2025/5/18 9:01,5612457
2025/5/18 10:01,5612956
2025/5/18 11:01,5613513
2025/5/18 12:00,5613581
2025/5/18 13:00,5613601
2025/5/18 14:00,5613624
2025/5/18 15:00,5613826
2025/5/18 16:00,5614179
2025/5/18 17:00,5614530
2025/5/18 18:00,5614873
2025/5/18 19:00,5615130
2025/5/18 20:00,5615381
2025/5/18 21:00,5615525
2025/5/18 21:59,5615704
2025/5/18 22:59,5615794
2025/5/18 23:59,5616359
2025/5/19 0:59,5616689
2025/5/19 7:15,5616700
2025/5/19 8:15,5617283
2025/5/19 9:15,5617520
2025/5/19 10:14,5617704
2025/5/19 11:14,5618200
2025/5/19 12:14,5618220
2025/5/19 13:14,5618241
2025/5/19 14:14,5618330
2025/5/19 15:14,5618746
2025/5/19 16:14,5619309
2025/5/19 17:14,5619915
2025/5/19 18:14,5620526
2025/5/19 19:13,5621134
2025/5/19 20:13,5621730
2025/5/19 21:13,5622294
2025/5/19 22:13,5622803
2025/5/19 23:13,5623245
2025/5/20 0:13,5623365
2025/5/20 7:17,5623376
2025/5/20 8:17,5624084
2025/5/20 9:17,5624362
2025/5/20 10:17,5624586
2025/5/20 11:17,5625083
2025/5/20 12:16,5625103
2025/5/20 13:16,5625123
2025/5/20 14:16,5625247
2025/5/20 15:16,5625722
2025/5/20 16:16,5626237
2025/5/20 17:16,5626681
2025/5/20 18:16,5627081
2025/5/20 19:16,5627469
2025/5/20 20:16,5627826
2025/5/20 21:16,5628151
2025/5/20 22:16,5628340
2025/5/20 23:16,5628506
2025/5/21 0:16,5628628
2025/5/21 1:16,5628755
2025/5/21 2:15,5628893
2025/5/21 3:15,5628939
2025/5/21 12:20,5628950
2025/5/21 13:20,5629198
2025/5/21 14:20,5629611
2025/5/21 15:20,5630519
2025/5/21 16:20,5631429
2025/5/21 17:20,5632322
2025/5/21 18:20,5633213
2025/5/21 19:20,5633695
2025/5/21 22:12,5633706
2025/5/21 23:11,5633977
2025/5/22 8:24,5633988
2025/5/22 9:25,5634307
2025/5/22 10:25,5635113
2025/5/22 11:25,5635876
2025/5/22 12:25,5636257
2025/5/22 13:25,5636440
2025/5/22 14:25,5636693
2025/5/22 15:25,5637470
2025/5/22 16:26,5638312
2025/5/22 17:27,5639123
2025/5/22 18:27,5639903
2025/5/22 19:26,5640686
2025/5/22 20:26,5641400
2025/5/22 21:27,5641839
2025/5/22 22:28,5642203
2025/5/22 23:29,5642279
2025/5/23 9:35,5642290
2025/5/23 10:35,5642412
2025/5/23 11:35,5642433
2025/5/23 14:03,5642444
2025/5/23 15:03,5642517
2025/5/23 16:03,5642537
2025/5/23 17:03,5642557
2025/5/23 18:03,5642578
2025/5/23 19:03,5642594
2025/5/23 20:03,5642710
2025/5/23 21:03,5642762
2025/5/23 22:03,5643204
2025/5/24 14:01,5643215
2025/5/24 15:01,5643482
2025/5/24 16:00,5643660
2025/5/24 17:00,5643786
2025/5/24 18:00,5643922
2025/5/24 19:00,5644066
2025/5/24 20:00,5644185
2025/5/24 21:00,5644311
2025/5/24 22:00,5644437
2025/5/24 23:00,5644570
