Time,Switch_State,Wind_Speed,Setpoint
2025-05-15 03:03:00,off,middle,30
2025-05-15 08:41:00,off,middle,30
2025-05-15 12:19:00,on,middle,26
2025-05-15 22:29:00,off,middle,30
2025-05-16 08:51:00,off,middle,30
2025-05-16 11:00:00,on,middle,28
2025-05-16 12:00:00,on,middle,28
2025-05-16 13:00:00,on,middle,28
2025-05-16 14:00:00,on,middle,26
2025-05-16 15:00:00,on,middle,26
2025-05-16 16:00:00,on,middle,26
2025-05-16 17:00:00,on,middle,26
2025-05-16 18:00:00,on,middle,26
2025-05-16 19:00:00,on,middle,26
2025-05-16 20:00:00,on,middle,26
2025-05-16 20:05:00,off,middle,30
2025-05-17 09:01:00,on,middle,26
2025-05-17 10:00:00,on,middle,24
2025-05-17 11:00:00,on,middle,28
2025-05-17 12:00:00,on,middle,28
2025-05-17 13:00:00,on,middle,28
2025-05-17 14:00:00,on,middle,26
2025-05-17 15:00:00,on,middle,26
2025-05-17 16:00:00,on,middle,26
2025-05-17 17:00:00,on,middle,26
2025-05-17 18:00:00,on,middle,26
2025-05-17 19:00:00,on,middle,26
2025-05-17 20:00:00,on,middle,26
2025-05-17 20:07:00,off,middle,30
2025-05-17 22:07:00,on,middle,24
2025-05-18 00:39:00,off,middle,30
2025-05-18 08:59:00,on,middle,26
2025-05-18 09:00:00,on,middle,26
2025-05-18 10:00:00,on,middle,24
2025-05-18 11:00:00,on,middle,28
2025-05-18 12:00:00,on,middle,28
2025-05-18 13:00:00,on,middle,28
2025-05-18 14:00:00,on,middle,26
2025-05-18 15:00:00,on,middle,26
2025-05-18 16:00:00,on,middle,26
2025-05-18 17:00:00,on,middle,26
2025-05-18 18:00:00,on,middle,26
2025-05-18 19:00:00,on,middle,26
2025-05-18 20:00:00,off,middle,30
2025-05-18 20:24:00,on,middle,26
2025-05-18 22:33:00,off,middle,30
2025-05-19 00:52:00,off,middle,30
2025-05-19 07:13:00,on,middle,24
2025-05-19 08:26:00,off,middle,30
2025-05-19 08:40:00,off,middle,30
2025-05-19 08:45:00,on,middle,26
2025-05-19 09:00:00,on,middle,26
2025-05-19 10:00:00,on,middle,24
2025-05-19 11:00:00,on,middle,28
2025-05-19 12:00:00,on,middle,28
2025-05-19 13:00:00,on,middle,28
2025-05-19 14:00:00,on,middle,26
2025-05-19 15:00:00,on,middle,26
2025-05-19 16:00:00,on,middle,26
2025-05-19 17:00:00,on,middle,26
2025-05-19 18:00:00,on,middle,26
2025-05-19 19:00:00,on,middle,26
2025-05-19 20:00:00,on,middle,26
2025-05-19 23:32:00,off,middle,30
2025-05-20 07:15:00,on,middle,24
2025-05-20 07:38:00,on,middle,25
2025-05-20 07:38:00,on,middle,26
2025-05-20 08:39:00,off,middle,30
2025-05-20 08:44:00,on,middle,26
2025-05-20 09:00:00,on,middle,26
2025-05-20 10:00:00,on,middle,24
2025-05-20 11:00:00,on,middle,28
2025-05-20 12:00:00,on,middle,28
2025-05-20 13:00:00,on,middle,28
2025-05-20 14:00:00,on,middle,26
2025-05-20 15:00:00,on,middle,26
2025-05-20 16:00:00,on,middle,26
2025-05-20 17:00:00,on,middle,26
2025-05-20 19:00:00,on,middle,26
2025-05-20 20:00:00,on,middle,26
2025-05-21 02:38:00,off,middle,30
2025-05-21 08:40:00,off,middle,30
2025-05-21 09:00:00,off,middle,30
2025-05-21 10:00:00,off,middle,30
2025-05-21 11:00:00,off,middle,30
2025-05-21 12:00:00,off,middle,30
2025-05-21 12:19:00,on,middle,28
2025-05-21 13:00:00,on,middle,28
2025-05-21 14:00:00,on,middle,26
2025-05-21 15:00:00,on,middle,26
2025-05-21 16:00:00,on,middle,26
2025-05-21 17:00:00,on,middle,26
2025-05-21 18:00:00,on,middle,26
2025-05-21 18:53:00,off,middle,30
2025-05-21 19:00:00,off,middle,30
2025-05-21 20:00:00,off,middle,30
2025-05-21 21:00:00,off,middle,30
2025-05-21 22:00:00,off,middle,30
2025-05-21 22:10:00,on,middle,26
2025-05-21 22:31:00,off,middle,30
2025-05-21 23:00:00,off,middle,30
2025-05-22 00:00:00,off,middle,30
2025-05-22 01:00:00,off,middle,30
2025-05-22 02:00:00,off,middle,30
2025-05-22 03:00:00,off,middle,30
2025-05-22 04:00:00,off,middle,30
2025-05-22 05:00:00,off,middle,30
2025-05-22 06:00:00,off,middle,30
2025-05-22 07:00:00,off,middle,30
2025-05-22 08:00:00,off,middle,30
2025-05-22 08:22:00,on,middle,26
2025-05-22 08:51:00,off,middle,30
2025-05-22 09:00:00,off,middle,30
2025-05-22 09:27:00,on,middle,26
2025-05-22 10:09:00,on,middle,24
2025-05-22 11:00:00,on,middle,28
2025-05-22 12:00:00,on,middle,28
2025-05-22 13:00:00,on,middle,28
2025-05-22 14:00:00,on,middle,26
2025-05-22 15:00:00,on,middle,26
2025-05-22 16:00:00,on,middle,26
2025-05-22 17:00:00,on,middle,26
2025-05-22 18:00:00,on,middle,26
2025-05-22 19:00:00,on,middle,26
2025-05-22 20:00:00,on,middle,26
2025-05-22 20:41:00,off,middle,30
2025-05-22 21:00:00,off,middle,30
2025-05-22 22:00:00,off,middle,30
2025-05-22 23:00:00,off,middle,30
2025-05-22 23:05:00,off,middle,30
2025-05-22 23:13:00,off,middle,30
2025-05-23 00:00:00,off,middle,30
2025-05-23 01:00:00,off,middle,30
2025-05-23 02:00:00,off,middle,30
2025-05-23 03:00:00,off,middle,30
2025-05-23 04:00:00,off,middle,30
2025-05-23 05:00:00,off,middle,30
2025-05-23 06:00:00,off,middle,30
2025-05-23 07:00:00,off,middle,30
2025-05-23 08:47:00,off,middle,30
2025-05-23 09:31:00,on,middle,26
2025-05-23 10:41:00,off,middle,30
2025-05-23 11:25:00,off,middle,30
2025-05-23 14:00:00,on,middle,26
2025-05-23 18:09:00,off,middle,30
2025-05-23 19:00:00,on,middle,26
2025-05-23 20:24:00,off,middle,30
2025-05-23 21:00:00,off,middle,30
2025-05-23 22:00:00,off,middle,30
2025-05-23 23:00:00,off,middle,30
2025-05-24 00:00:00,off,middle,30
2025-05-24 01:00:00,off,middle,30
2025-05-24 02:00:00,off,middle,30
2025-05-24 03:00:00,off,middle,30
2025-05-24 04:00:00,off,middle,30
2025-05-24 05:00:00,off,middle,30
2025-05-24 06:00:00,off,middle,30
2025-05-24 07:00:00,off,middle,30
2025-05-24 08:00:00,off,middle,30
2025-05-24 09:00:00,off,middle,30
2025-05-24 11:00:00,off,middle,30
2025-05-24 12:00:00,off,middle,30
2025-05-24 13:00:00,off,middle,30
2025-05-24 13:47:00,on,middle,28
2025-05-24 14:00:00,on,middle,26
2025-05-24 17:00:00,on,middle,26
2025-05-24 19:00:00,on,middle,26
